Animation,Notes
h_a_a0a0_l01,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission1.
h_a_a0a0_l02,"C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission04, Mission1."
h_a_a0a0_l03,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission1.
h_a_a0a0_l04,"C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission04, Mission1."
h_a_a0a0_l05,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission1.
h_a_a0a0_l06,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l10,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l11,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l12,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l13,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission1.
h_a_a0a0_l15,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l20,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission1.
h_a_a0a0_l21,"C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission01, Mission1."
h_a_a0a0_l22,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l23,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l24,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l25,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l26,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l26b,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l26da,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission09.
h_a_a0a0_l26db,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission09.
h_a_a0a0_l26dc,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission09.
h_a_a0a0_l27,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l28a,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission04.
h_a_a0a0_l28b,"C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission04, Mission11."
h_a_a0a0_l28c,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission11.
h_a_a0a0_l29,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l30,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l31,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l32,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: MissionX0.
h_a_a0a0_l33,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l34,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission01.
h_a_a0a0_l35,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l36,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission1.
h_a_a0a0_l37,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l38,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l39,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: MissionX0.
h_a_a0a0_l40,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l41,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l42,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l43,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l44,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l45,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l46,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l47,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l48,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l49,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l50,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l51,"C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission09, Test_DLS."
h_a_a0a0_l52,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission1.
h_a_a0a0_l53,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: MissionX0.
h_a_a0a0_l54,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l55,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l56,C4-beacon-handsdown stance; Stand. Loiter variant. Explicit script refs: Mission01.
h_a_a0a0_l57,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l58,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l59,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l60,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l61,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l62,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l63,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l64,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l65,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l66,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l67,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l68,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l69,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l70,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l71,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a0_l72,C4-beacon-handsdown stance; Stand. Loiter variant.
h_a_a0a1,C4-beacon-handsdown stance; Run Forward.
h_a_a0a1_02,C4-beacon-handsdown stance; Run Forward.
h_a_a0a1_03,C4-beacon-handsdown stance; Run Forward.
h_a_a0a1_04,C4-beacon-handsdown stance; Run Forward.
h_a_a0a1_05,C4-beacon-handsdown stance; Run Forward.
h_a_a0a2,C4-beacon-handsdown stance; Run Backward.
h_a_a0a3,C4-beacon-handsdown stance; Run Left.
h_a_a0a4,C4-beacon-handsdown stance; Run Right.
h_a_a0a5,C4-beacon-handsdown stance; Turn Left (unused).
h_a_a0a6,C4-beacon-handsdown stance; Turn Right (unused).
h_a_a0b1,C4-beacon-handsdown stance; Walk Forward.
h_a_a0b1_02,C4-beacon-handsdown stance; Walk Forward.
h_a_a0b1_03,C4-beacon-handsdown stance; Walk Forward.
h_a_a0b1_04,C4-beacon-handsdown stance; Walk Forward.
h_a_a0b1_05,C4-beacon-handsdown stance; Walk Forward.
h_a_a0b2,C4-beacon-handsdown stance; Walk Backward.
h_a_a0b3,C4-beacon-handsdown stance; Walk Left.
h_a_a0b4,C4-beacon-handsdown stance; Walk Right.
h_a_a0c0,"C4-beacon-handsdown stance; Crouch. Explicit script refs: Mission01, Mission04, Mission11."
h_a_a0c1,C4-beacon-handsdown stance; Crouch Forward.
h_a_a0c2,C4-beacon-handsdown stance; Crouch Backward.
h_a_a0c3,C4-beacon-handsdown stance; Crouch Left.
h_a_a0c4,C4-beacon-handsdown stance; Crouch Right.
h_a_a0c5,C4-beacon-handsdown stance; Crouch Turn Left (unused).
h_a_a0c6,C4-beacon-handsdown stance; Crouch Turn Right (unused).
h_a_a0d0,C4-beacon-handsdown stance; Falling.
h_a_a0d3,C4-beacon-handsdown stance; Falling Left.
h_a_a0d4,C4-beacon-handsdown stance; Falling Right.
h_a_a0e1,C4-beacon-handsdown stance; Balance1.
h_a_a0e2,C4-beacon-handsdown stance; Balance2.
h_a_a0f0,"C4-beacon-handsdown stance; Press Button. Explicit script refs: Mission03, Mission05, Mission06, Mission07 +4 more."
h_a_a0j0,C4-beacon-handsdown stance; Jump.
h_a_a0j1,C4-beacon-handsdown stance; Jump Forward.
h_a_a0j1_01,C4-beacon-handsdown stance; Jump Forward.
h_a_a0j2,C4-beacon-handsdown stance; Jump Backward.
h_a_a0j3,C4-beacon-handsdown stance; Jump Left.
h_a_a0j4,C4-beacon-handsdown stance; Jump Right.
h_a_a0l0,C4-beacon-handsdown stance; Landing. HumanState default landing clip.
h_a_a0l1,C4-beacon-handsdown stance; Landing Forward. HumanState forward landing clip.
h_a_a0l2,C4-beacon-handsdown stance; Landing Backward. HumanState backward landing clip.
h_a_a0l3,C4-beacon-handsdown stance; Landing Left. HumanState left landing clip.
h_a_a0l4,C4-beacon-handsdown stance; Landing Right. HumanState right landing clip.
h_a_a0s0,C4-beacon-handsdown stance; 180 Turn.
h_a_b0a0,Relaxed stance; Stand.
h_a_b0a0_l05,Relaxed stance; Stand. Loiter variant.
h_a_b0a0_l15,Relaxed stance; Stand. Loiter variant.
h_a_b0a1,Relaxed stance; Run Forward.
h_a_b0a1_02,Relaxed stance; Run Forward.
h_a_b0a1_03,Relaxed stance; Run Forward.
h_a_b0a1_04,Relaxed stance; Run Forward.
h_a_b0a1_05,Relaxed stance; Run Forward.
h_a_b0a2,Relaxed stance; Run Backward.
h_a_b0a3,Relaxed stance; Run Left.
h_a_b0a4,Relaxed stance; Run Right.
h_a_b0a5,Relaxed stance; Turn Left (unused).
h_a_b0a6,Relaxed stance; Turn Right (unused).
h_a_b0b1,Relaxed stance; Walk Forward.
h_a_b0b1_02,Relaxed stance; Walk Forward.
h_a_b0b1_03,Relaxed stance; Walk Forward.
h_a_b0b1_04,Relaxed stance; Walk Forward.
h_a_b0b1_05,Relaxed stance; Walk Forward.
h_a_b0b2,Relaxed stance; Walk Backward.
h_a_b0b3,Relaxed stance; Walk Left.
h_a_b0b4,Relaxed stance; Walk Right.
h_a_b0c0,"Relaxed stance; Crouch. Explicit script refs: Mission06, MissionX0."
h_a_b0c1,Relaxed stance; Crouch Forward.
h_a_b0c2,Relaxed stance; Crouch Backward.
h_a_b0c3,Relaxed stance; Crouch Left.
h_a_b0c4,Relaxed stance; Crouch Right.
h_a_b0c5,Relaxed stance; Crouch Turn Left (unused).
h_a_b0c6,Relaxed stance; Crouch Turn Right (unused).
h_a_b0d0,Relaxed stance; Falling.
h_a_b0d3,Relaxed stance; Falling Left.
h_a_b0d4,Relaxed stance; Falling Right.
h_a_b0j0,Relaxed stance; Jump.
h_a_b0j1,Relaxed stance; Jump Forward.
h_a_b0j2,Relaxed stance; Jump Backward.
h_a_b0j3,Relaxed stance; Jump Left.
h_a_b0j4,Relaxed stance; Jump Right.
h_a_b0l0,Relaxed stance; Landing.
h_a_b0l1,Relaxed stance; Landing Forward.
h_a_b0l2,Relaxed stance; Landing Backward.
h_a_b0l3,Relaxed stance; Landing Left.
h_a_b0l4,Relaxed stance; Landing Right.
h_a_bodyslam,Raveshaw animation.
h_a_c0a1_02,Heavy Weapon Guy stance; Run.
h_a_c0a1_04,Heavy Weapon Guy stance; Run.
h_a_c0a1_05,Inventory labels: Heavy Weapon Guy stance; Run. / Heavy Weapon Guy stance; Walk.
h_a_c0b1_02,Heavy Weapon Guy stance; Walk.
h_a_c0b1_04,Heavy Weapon Guy stance; Walk.
h_a_c0b1_05,Heavy Weapon Guy stance; Walk.
h_a_c1a0,Shoulder look down stance; Stand.
h_a_c1a1,Shoulder look down stance; Run Forward.
h_a_c1a2,Shoulder look down stance; Run Backward.
h_a_c1a3,Shoulder look down stance; Run Left.
h_a_c1a4,Shoulder look down stance; Run Right.
h_a_c1a5,Shoulder look down stance; Turn Left (unused).
h_a_c1a6,Shoulder look down stance; Turn Right (unused).
h_a_c1b1,Shoulder look down stance; Walk Forward.
h_a_c1b2,Shoulder look down stance; Walk Backward.
h_a_c1b3,Shoulder look down stance; Walk Left.
h_a_c1b4,Shoulder look down stance; Walk Right.
h_a_c1c0,Shoulder look down stance; Crouch.
h_a_c1c1,Shoulder look down stance; Crouch Forward.
h_a_c1c2,Shoulder look down stance; Crouch Backward.
h_a_c1c3,Shoulder look down stance; Crouch Left.
h_a_c1c4,Shoulder look down stance; Crouch Right.
h_a_c1c5,Shoulder look down stance; Crouch Turn Left (unused).
h_a_c1c6,Shoulder look down stance; Crouch Turn Right (unused).
h_a_c1d0,Shoulder look down stance; Falling.
h_a_c1j0,Shoulder look down stance; Jump.
h_a_c1j1,Shoulder look down stance; Jump Forward.
h_a_c1j2,Shoulder look down stance; Jump Backward.
h_a_c1j3,Shoulder look down stance; Jump Left.
h_a_c1j4,Shoulder look down stance; Jump Right.
h_a_c1l0,Shoulder look down stance; Landing.
h_a_c1l1,Shoulder look down stance; Landing Forward.
h_a_c1l2,Shoulder look down stance; Landing Backward.
h_a_c1l3,Shoulder look down stance; Landing Left.
h_a_c1l4,Shoulder look down stance; Landing Right.
h_a_c2a0,Shoulder stance; Stand.
h_a_c2a1,Shoulder stance; Run Forward.
h_a_c2a2,Shoulder stance; Run Backward.
h_a_c2a3,Shoulder stance; Run Left.
h_a_c2a4,Shoulder stance; Run Right.
h_a_c2a5,Shoulder stance; Turn Left (unused).
h_a_c2a6,Shoulder stance; Turn Right (unused).
h_a_c2b1,Shoulder stance; Walk Forward.
h_a_c2b2,Shoulder stance; Walk Backward.
h_a_c2b3,Shoulder stance; Walk Left.
h_a_c2b4,Shoulder stance; Walk Right.
h_a_c2c0,Shoulder stance; Crouch. Explicit script refs: PRDemo.
h_a_c2c1,Shoulder stance; Crouch Forward.
h_a_c2c2,Shoulder stance; Crouch Backward.
h_a_c2c3,Shoulder stance; Crouch Left.
h_a_c2c4,Shoulder stance; Crouch Right.
h_a_c2c5,Shoulder stance; Crouch Turn Left (unused).
h_a_c2c6,Shoulder stance; Crouch Turn Right (unused).
h_a_c2d0,Shoulder stance; Falling.
h_a_c2d3,Shoulder stance; Falling Left.
h_a_c2d4,Shoulder stance; Falling Right.
h_a_c2g0,Shoulder stance; Reload.
h_a_c2j0,Shoulder stance; Jump.
h_a_c2j1,Shoulder stance; Jump Forward.
h_a_c2j2,Shoulder stance; Jump Backward.
h_a_c2j3,Shoulder stance; Jump Left.
h_a_c2j4,Shoulder stance; Jump Right.
h_a_c2l0,Shoulder stance; Land.
h_a_c2l1,Shoulder stance; Land Forward.
h_a_c2l2,Inventory labels: Shoulder stance; Land Backward. / C4-beacon-handsdown stance; Landing Backward.
h_a_c2l3,Shoulder stance; Land Left.
h_a_c2l4,Shoulder stance; Land Right.
h_a_c3a0,Shoulder look up stance; Stand.
h_a_c3a1,Shoulder look up stance; Run Forward.
h_a_c3a2,Shoulder look up stance; Run Backward.
h_a_c3a3,Shoulder look up stance; Run Left.
h_a_c3a4,Shoulder look up stance; Run Right.
h_a_c3a5,Shoulder look up stance; Turn Left (unused).
h_a_c3a6,Shoulder look up stance; Turn Right (unused).
h_a_c3b1,Shoulder look up stance; Walk Forward.
h_a_c3b2,Shoulder look up stance; Walk Backward.
h_a_c3b3,Shoulder look up stance; Walk Left.
h_a_c3b4,Shoulder look up stance; Walk Right.
h_a_c3c0,Shoulder look up stance; Crouch.
h_a_c3c1,Shoulder look up stance; Crouch Forward.
h_a_c3c2,Shoulder look up stance; Crouch Backward.
h_a_c3c3,Shoulder look up stance; Crouch Left.
h_a_c3c4,Shoulder look up stance; Crouch Right.
h_a_c3c5,Shoulder look up stance; Crouch Turn Left (unused).
h_a_c3c6,Shoulder look up stance; Crouch Turn Right (unused).
h_a_c3d0,Shoulder look up stance; Falling.
h_a_c3j0,Shoulder look up stance; Jump.
h_a_c3j1,Shoulder look up stance; Jump Forward.
h_a_c3j2,Shoulder look up stance; Jump Backward.
h_a_c3j3,Shoulder look up stance; Jump Left.
h_a_c3j4,Shoulder look up stance; Jump Right.
h_a_c3l0,Shoulder look up stance; Landing.
h_a_c3l1,Shoulder look up stance; Landing Forward.
h_a_c3l2,Shoulder look up stance; Landing Backward.
h_a_c3l3,Shoulder look up stance; Landing Left.
h_a_c3l4,Shoulder look up stance; Landing Right.
h_a_con1,Cinematic animation.
h_a_con2,"Cinematic animation. Explicit script refs: Mission01, Mission02, Mission04, Mission11 +2 more."
h_a_cresentkick,Mendoza animation.
h_a_d11a,Hip look down stance; Falling and Flailing. Explicit script refs: Mission11.
h_a_d1a0,Hip look down stance; Stand.
h_a_d1a1,Hip look down stance; Run Forward.
h_a_d1a2,Hip look down stance; Run Backward.
h_a_d1a3,Hip look down stance; Run Left.
h_a_d1a4,Hip look down stance; Run Right.
h_a_d1a5,Hip look down stance; Turn Left (unused).
h_a_d1a6,Hip look down stance; Turn Right (unused).
h_a_d1b1,Hip look down stance; Walk Forward.
h_a_d1b2,Hip look down stance; Walk Backward.
h_a_d1b3,Hip look down stance; Walk Left.
h_a_d1b4,Hip look down stance; Walk Right.
h_a_d1c0,Hip look down stance; Crouch.
h_a_d1c1,Hip look down stance; Crouch Forward.
h_a_d1c2,Hip look down stance; Crouch Backward.
h_a_d1c3,Hip look down stance; Crouch Left.
h_a_d1c4,Hip look down stance; Crouch Right.
h_a_d1c5,Hip look down stance; Crouch Turn Left (unused).
h_a_d1c6,Hip look down stance; Crouch Turn Right (unused).
h_a_d1d0,Hip look down stance; Falling.
h_a_d1j0,Hip look down stance; Jump.
h_a_d1j1,Hip look down stance; Jump Forward.
h_a_d1j2,Hip look down stance; Jump Backward.
h_a_d1j3,Hip look down stance; Jump Left.
h_a_d1j4,Hip look down stance; Jump Right.
h_a_d1l0,Hip look down stance; Landing.
h_a_d1l1,Hip look down stance; Landing Forward.
h_a_d1l2,Hip look down stance; Landing Backward.
h_a_d1l3,Hip look down stance; Landing Left.
h_a_d1l4,Hip look down stance; Landing Right.
h_a_d2a0,Hip stance; Stand.
h_a_d2a1,Hip stance; Run Forward.
h_a_d2a2,Hip stance; Run Backward.
h_a_d2a3,Hip stance; Run Left. Explicit script refs: PRDemo.
h_a_d2a4,Hip stance; Run Right. Explicit script refs: PRDemo.
h_a_d2a5,Hip stance; Turn Left (unused).
h_a_d2a6,Hip stance; Turn Right (unused).
h_a_d2b1,Hip stance; Walk Forward.
h_a_d2b2,Hip stance; Walk Backward. Explicit script refs: PRDemo.
h_a_d2b3,Hip stance; Walk Left.
h_a_d2b4,Hip stance; Walk Right.
h_a_d2c0,Hip stance; Crouch.
h_a_d2c1,Hip stance; Crouch Forward.
h_a_d2c2,Hip stance; Crouch Backward.
h_a_d2c3,Hip stance; Crouch Left.
h_a_d2c4,Hip stance; Crouch Right.
h_a_d2c5,Hip stance; Crouch Turn Left (unused).
h_a_d2c6,Hip stance; Crouch Turn Right (unused).
h_a_d2d0,Hip stance; Falling.
h_a_d2d3,Hip stance; Falling Left.
h_a_d2d4,Hip stance; Falling Right.
h_a_d2g0,Hip stance; Third Person Reload.
h_a_d2j0,Hip stance; Jump.
h_a_d2j1,Hip stance; Jump Forward.
h_a_d2j2,Hip stance; Jump Backward.
h_a_d2j3,Hip stance; Jump Left.
h_a_d2j4,Hip stance; Jump Right.
h_a_d2l0,Hip stance; Land.
h_a_d2l1,Hip stance; Land Forward.
h_a_d2l2,Hip stance; Land Backward.
h_a_d2l3,Hip stance; Land Left.
h_a_d2l4,Hip stance; Land Right.
h_a_d3a0,Hip Look up stance; Stand.
h_a_d3a1,Hip Look up stance; Run Forward.
h_a_d3a2,Hip Look up stance; Run Backward.
h_a_d3a3,Hip Look up stance; Run Left.
h_a_d3a4,Hip Look up stance; Run Right.
h_a_d3a5,Hip Look up stance; Turn Left (unused).
h_a_d3a6,Hip Look up stance; Turn Right (unused).
h_a_d3b1,Hip Look up stance; Walk Forward.
h_a_d3b2,Hip Look up stance; Walk Backward.
h_a_d3b3,Hip Look up stance; Walk Left.
h_a_d3b4,Hip Look up stance; Walk Right.
h_a_d3c0,Hip Look up stance; Crouch.
h_a_d3c1,Hip Look up stance; Crouch Forward.
h_a_d3c2,Hip Look up stance; Crouch Backward.
h_a_d3c3,Hip Look up stance; Crouch Left.
h_a_d3c4,Hip Look up stance; Crouch Right.
h_a_d3c5,Hip Look up stance; Crouch Turn Left (unused).
h_a_d3c6,Hip Look up stance; Crouch Turn Right (unused).
h_a_d3d0,Hip Look up stance; Falling.
h_a_d3j0,Hip Look up stance; Jump.
h_a_d3j1,Hip Look up stance; Jump Forward.
h_a_d3j2,Hip Look up stance; Jump Backward.
h_a_d3j3,Hip Look up stance; Jump Left.
h_a_d3j4,Hip Look up stance; Jump Right.
h_a_d3l0,Hip Look up stance; Land.
h_a_d3l1,Hip Look up stance; Land Forward.
h_a_d3l2,Hip Look up stance; Land Backward.
h_a_d3l3,Hip Look up stance; Land Left.
h_a_d3l4,Hip Look up stance; Land Right.
h_a_deathblast,Death animation.
h_a_deathblast2,Death animation.
h_a_div1,DIVE animation. Explicit script refs: PRDemo.
h_a_div2,DIVE animation.
h_a_div3,DIVE animation.
h_a_div4,DIVE animation.
h_a_draw,Draw animation.
h_a_drawc,Draw animation.
h_a_dsh1,Sprint animation.
h_a_dsh2,Sprint animation.
h_a_dsh3,Sprint animation.
h_a_dsh4,Sprint animation.
h_a_f1a0,Handgun look down stance; Stand.
h_a_f1a1,Handgun look down stance; Run Forward.
h_a_f1a2,Handgun look down stance; Run Backward.
h_a_f1a3,Handgun look down stance; Run Left.
h_a_f1a4,Handgun look down stance; Run Right.
h_a_f1a5,Handgun look down stance; Turn Left (unused).
h_a_f1a6,Handgun look down stance; Turn Right (unused).
h_a_f1b1,Handgun look down stance; Walk Forward.
h_a_f1b2,Handgun look down stance; Walk Backward.
h_a_f1b3,Handgun look down stance; Walk Left.
h_a_f1b4,Handgun look down stance; Walk Right.
h_a_f1c0,Handgun look down stance; Crouch.
h_a_f1c1,Handgun look down stance; Crouch Forward.
h_a_f1c2,Handgun look down stance; Crouch Backward.
h_a_f1c3,Handgun look down stance; Crouch Left.
h_a_f1c4,Handgun look down stance; Crouch Right.
h_a_f1c5,Handgun look down stance; Crouch Turn Left (unused).
h_a_f1c6,Handgun look down stance; Crouch Turn Right (unused).
h_a_f1d0,Handgun look down stance; Falling.
h_a_f1j0,Handgun look down stance; Jump.
h_a_f1j1,Handgun look down stance; Jump Forward.
h_a_f1j2,Handgun look down stance; Jump Backward.
h_a_f1j3,Handgun look down stance; Jump Left.
h_a_f1j4,Handgun look down stance; Jump Right.
h_a_f1l0,Handgun look down stance; Land.
h_a_f1l1,Handgun look down stance; Land Forward.
h_a_f1l2,Handgun look down stance; Land Backward.
h_a_f1l3,Handgun look down stance; Land Left.
h_a_f1l4,Handgun look down stance; Land Right.
h_a_f2a0,Handgun stance; Stand.
h_a_f2a1,Handgun stance; Run Forward.
h_a_f2a2,Handgun stance; Run Backward.
h_a_f2a3,Handgun stance; Run Left.
h_a_f2a4,Handgun stance; Run Right.
h_a_f2a5,Handgun stance; Turn Left (unused).
h_a_f2a6,Handgun stance; Turn Right (unused).
h_a_f2b1,Handgun stance; Walk Forward.
h_a_f2b2,Handgun stance; Walk Backward.
h_a_f2b3,Handgun stance; Walk Left.
h_a_f2b4,Handgun stance; Walk Right.
h_a_f2c0,Handgun stance; Crouch.
h_a_f2c1,Handgun stance; Crouch Forward.
h_a_f2c2,Handgun stance; Crouch Backward.
h_a_f2c3,Handgun stance; Crouch Left.
h_a_f2c4,Handgun stance; Crouch Right.
h_a_f2c5,Handgun stance; Crouch Turn Left (unused).
h_a_f2c6,Handgun stance; Crouch Turn Right (unused).
h_a_f2d0,Handgun stance; Falling.
h_a_f2d3,Handgun stance; Falling Left.
h_a_f2d4,Handgun stance; Falling Right.
h_a_f2g0,Handgun stance; Third Person Reload.
h_a_f2j0,Handgun stance; Jump.
h_a_f2j1,Handgun stance; Jump Forward.
h_a_f2j2,Handgun stance; Jump Backward.
h_a_f2j3,Handgun stance; Jump Left.
h_a_f2j4,Handgun stance; Jump Right.
h_a_f2l0,Handgun stance; Land.
h_a_f2l1,Handgun stance; Land Forward.
h_a_f2l2,Handgun stance; Land Backward.
h_a_f2l3,Handgun stance; Land Left.
h_a_f2l4,Handgun stance; Land Right.
h_a_f3a0,Handgun look up stance; Stand.
h_a_f3a1,Handgun look up stance; Run Forward.
h_a_f3a2,Handgun look up stance; Run Backward.
h_a_f3a3,Handgun look up stance; Run Left.
h_a_f3a4,Handgun look up stance; Run Right.
h_a_f3a5,Handgun look up stance; Turn Left (unused).
h_a_f3a6,Handgun look up stance; Turn Right (unused).
h_a_f3b1,Handgun look up stance; Walk Forward.
h_a_f3b2,Handgun look up stance; Walk Backward.
h_a_f3b3,Handgun look up stance; Walk Left.
h_a_f3b4,Handgun look up stance; Walk Right.
h_a_f3c0,Handgun look up stance; Crouch.
h_a_f3c1,Handgun look up stance; Crouch Forward.
